2015 01 01    6.07   -7.36  -13.92   -5.27  -11.35   -8.78              0.60              0.60              2.66              2.63
2015 01 02    7.17   -7.12  -12.91   -3.47  -10.64   -8.02              0.62              0.62              2.65              2.59
2015 01 03   11.84   -5.00   -7.92    1.08  -10.76   -4.73              0.58              0.58              2.62              2.53
2015 01 04    5.74   -0.33    0.59    4.11   -1.63    0.99              0.53              0.53              -999              2.24
2015 01 05    6.39    0.52   -0.35    4.88   -1.50    1.27              0.48              0.48              -999              2.09
2015 01 06    9.44   -3.81  -11.87    0.74   -8.71   -4.93              0.64              0.64              2.81              2.79
2015 01 07    9.69   -6.64  -14.33   -1.78  -11.47   -7.56              0.62              0.62              2.79              2.78
2015 01 08   10.93   -7.11  -11.99   -1.49  -12.42   -7.49              0.63              0.63              2.76              2.76
2015 01 09   11.05   -5.27   -8.75    1.71   -9.34   -5.01              0.59              0.59              2.73              2.58
2015 01 10   10.98   -3.37   -5.50    2.90   -8.08   -2.76              0.62              0.62              2.73              2.72
2015 01 11    9.36   -2.20   -7.12    1.66   -7.70   -2.50              0.61              0.61              -999              2.80
2015 01 12   11.48   -5.30  -12.76    0.45  -11.04   -5.24              0.63              0.63              2.89              2.88
2015 01 13    8.43   -3.24  -10.35    2.51   -5.93   -1.50              0.56              0.56              -999              2.52
2015 01 14    5.41   -1.34   -6.48    2.82   -2.59   -0.36              0.29              0.29              -999              1.34
2015 01 15    8.93   -0.60   -2.37    5.55   -3.37    0.23              0.61              0.61              -999              2.76
2015 01 16    8.29   -0.82   -4.29    2.62   -5.67   -0.86              0.31              0.31              -999              1.44
2015 01 17    9.32   -5.27  -11.75   -0.75  -10.07   -6.09              0.62              0.62              3.00              2.99
2015 01 18   10.70   -2.66   -4.78    2.35   -8.35   -2.12              0.35              0.35              -999              1.64
2015 01 19    8.49   -1.97   -5.55    1.42   -7.07   -2.22              0.60              0.60              2.98              2.79
2015 01 20    9.45   -3.47   -8.61    1.00   -8.45   -3.26              0.59              0.59              -999              2.86
2015 01 21    7.27   -0.36   -2.98    4.29   -2.97    0.46              0.35              0.35              -999              1.68
2015 01 22    7.10    0.28   -2.96    4.94   -2.16    0.66              0.61              0.61              2.99              2.94
2015 01 23    7.80   -1.02   -4.05    3.82   -3.98   -0.77              0.58              0.58              -999              2.86
2015 01 24    6.61    0.41   -1.78    5.36   -1.25    1.55              0.59              0.59              -999              2.97
2015 01 25    3.49    0.84   -0.74    2.72   -0.76    1.04              0.16              0.16              -999              0.81
2015 01 26    9.75    1.81   -0.43    7.03   -2.72    1.81              0.40              0.40              -999              2.01
2015 01 27    8.05   -3.22  -12.21   -1.10   -9.15   -5.04              0.65              0.65              3.35              3.35
2015 01 28   13.72   -4.15  -10.59    1.33  -12.39   -5.64              0.64              0.64              3.32              3.31
2015 01 29    8.42   -2.56   -6.49    2.04   -6.38   -2.87              0.30              0.30              -999              1.58
2015 01 30    8.58   -4.41  -11.22   -0.52   -9.10   -5.17              0.65              0.65              -999              3.38
2015 01 31   11.61   -5.83  -12.77   -0.74  -12.35   -7.18              0.68              0.68              3.52              3.52
2015 02 01   10.95   -4.60  -11.06    1.14   -9.81   -4.81              0.63              0.63              3.38              3.37
2015 02 02    9.78   -2.72   -9.41    3.18   -6.60   -2.47              0.62              0.62              3.38              3.36
2015 02 03    7.71   -2.15   -7.16    2.89   -4.82   -1.32              0.56              0.56              -999              3.07
2015 02 04    7.24   -1.30   -6.33    3.22   -4.02   -0.79              0.56              0.56              -999              3.03
2015 02 05    8.93   -1.24   -5.91    3.20   -5.72   -1.84              0.60              0.60              -999              3.42
2015 02 06    9.22   -1.30   -5.75    3.52   -5.70   -1.57              0.61              0.61              3.54              3.52
2015 02 07   10.53   -0.43   -5.35    4.39   -6.14   -0.28              0.48              0.48              -999              2.68
2015 02 08    6.26   -7.87  -18.58   -6.64  -12.90  -10.05              0.65              0.65              -999              3.78
2015 02 09   16.22   -6.27  -12.08    0.60  -15.62   -7.21              0.58              0.58              -999              3.34
2015 02 10   11.00   -1.73   -3.08    5.29   -5.71   -0.83              0.51              0.51              -999              3.01
2015 02 11    8.39   -0.63   -6.16    4.51   -3.88   -0.65              0.57              0.57              -999              3.34
2015 02 12    8.38   -3.28  -11.72    0.72   -7.66   -4.06              0.65              0.65              -999              3.89
2015 02 13   11.33   -3.49  -10.32    1.94   -9.39   -3.70              0.65              0.65              3.93              3.92
2015 02 14   11.36   -0.56   -0.96    5.97   -5.40    0.23              0.33              0.33              -999              1.96
2015 02 15    9.16    3.25    0.19    9.30    0.14    3.74              0.59              0.59              -999              3.61
2015 02 16    3.79    2.35    1.61    4.89    1.10    2.78              0.10              0.10              -999              0.59
2015 02 17    5.72    1.35   -1.91    4.36   -1.37    1.06              0.32              0.32              -999              2.01
2015 02 18    7.50    0.88   -3.72    4.86   -2.64    0.31              0.48              0.48              -999              2.98
2015 02 19    8.92    1.58   -4.30    6.44   -2.48    1.13              0.64              0.64              -999              4.11
2015 02 20   10.14    1.95   -2.86    7.55   -2.60    2.41              0.53              0.53              -999              3.48
2015 02 21    4.62    2.88    1.57    5.26    0.64    3.30              0.12              0.12              -999              0.78
2015 02 22    8.69    2.09   -2.99    5.11   -3.58    1.55              0.56              0.56              -999              3.63
2015 02 23    7.57    0.58   -5.43    4.62   -2.95   -0.25              0.64              0.64              -999              4.19
2015 02 24    9.68    0.45   -6.53    5.23   -4.45   -0.21              0.65              0.65              -999              4.44
2015 02 25    9.52    2.46   -3.16    8.18   -1.33    2.41              0.65              0.65              -999              4.29
2015 02 26    7.48    0.48   -6.48    3.20   -4.28   -0.53              0.66              0.66              4.64              4.59
2015 02 27    8.42   -0.84  -10.13    2.62   -5.80   -2.15              0.68              0.68              -999              4.67
2015 02 28    7.10    0.91   -5.74    4.96   -2.13    1.18              0.32              0.32              -999              2.25
2015 03 01    7.81    0.99   -4.67    5.01   -2.80    0.50              0.52              0.52              -999              3.57
2015 03 02    9.04    1.38   -3.56    6.79   -2.25    1.41              0.61              0.61              4.53              4.43
2015 03 03    6.09    0.38   -1.95    2.58   -3.51    0.46              0.21              0.21              -999              1.46
2015 03 04    5.68   -1.70   -9.88    0.75   -4.93   -2.72              0.62              0.62              4.73              4.48
2015 03 05   10.24   -1.03   -9.51    3.38   -6.86   -1.90              0.54              0.54              -999              3.91
2015 03 06   10.29    0.53   -6.61    6.17   -4.12    0.56              0.66              0.66              4.78              4.75
2015 03 07    9.92    1.62   -6.24    8.03   -1.88    1.97              0.64              0.64              4.88              4.84
2015 03 08   11.55    3.64   -3.16   11.56    0.01    4.64              0.62              0.62              4.80              4.62
2015 03 09   10.55    0.83   -8.10    5.11   -5.44   -0.23              0.65              0.65              -999              4.86
2015 03 10    7.17   -1.85  -12.63    0.16   -7.01   -3.68              0.67              0.67              5.09              5.05
2015 03 11   10.13   -0.07   -7.77    5.37   -4.76   -0.46              0.55              0.55              -999              4.22
2015 03 12    9.93    0.79   -5.85    5.22   -4.71    0.17              0.67              0.67              5.09              5.06
2015 03 13   10.97    2.80   -4.81    8.36   -2.61    2.42              0.64              0.64              5.16              5.13
2015 03 14   10.73    2.34   -5.29    7.96   -2.78    1.75              0.64              0.64              -999              5.09
2015 03 15    9.18    2.56   -3.12    8.24   -0.94    2.85              0.59              0.59              -999              4.85
2015 03 16   14.08    4.80   -2.04   13.68   -0.40    6.31              0.64              0.64              5.23              5.15
2015 03 17    6.96    3.89    1.16    9.66    2.71    5.94              0.24              0.24              -999              1.92
2015 03 18    5.91    4.95    2.87    9.13    3.22    5.65              0.14              0.14              -999              1.14
2015 03 19   15.75    8.37    2.84   16.87    1.11    8.29              0.63              0.63              5.25              5.22
2015 03 20   13.93    8.92   -1.08   18.19    4.26    9.78              0.64              0.64              5.46              5.42
2015 03 21   12.32    6.73    0.50   14.40    2.08    7.35              0.61              0.61              -999              5.27
2015 03 22   14.51    4.24   -5.38   11.54   -2.97    4.00              0.67              0.67              5.67              5.62
2015 03 23   12.57    2.35   -7.99    8.56   -4.01    1.74              0.66              0.66              5.67              5.65
2015 03 24   13.31    3.50   -7.09    9.98   -3.34    2.62              0.68              0.68              5.80              5.77
2015 03 25   13.70    4.58   -4.70   11.57   -2.13    3.82              0.67              0.67              5.79              5.73
2015 03 26   12.57    5.50   -0.54   12.72    0.15    5.24              0.67              0.67              5.77              5.74
2015 03 27   13.12    6.45    0.58   13.10   -0.02    5.24              0.62              0.62              5.84              5.36
2015 03 28   12.20    6.31    1.05   12.39    0.18    5.62              0.61              0.61              -999              5.32
2015 03 29   11.92    8.80    5.24   15.54    3.63    8.05              0.39              0.39              -999              3.52
2015 03 30   13.18    9.61    5.05   16.87    3.69    9.07              0.63              0.63              5.81              5.57
2015 03 31    8.23    9.42    8.75   13.64    5.42    9.86              0.12              0.12              -999              1.07
2015 04 01    9.92   10.17    4.55   14.97    5.06   10.00              0.59              0.59              -999              5.23
2015 04 02   12.41   10.69    7.91   16.20    3.79   11.01              0.33              0.33              -999              2.95
2015 04 03   10.62   11.06    5.77   16.31    5.69   10.27              0.38              0.38              -999              3.52
2015 04 04   11.54    9.62    4.18   15.91    4.37    9.38              0.32              0.32              -999              2.97
2015 04 05    8.54    9.57    5.83   13.46    4.92    9.08              0.13              0.13              -999              1.17
2015 04 06    9.56    8.23    0.62   13.37    3.81    7.79              0.38              0.38              -999              3.57
2015 04 07    8.50    7.59    0.20   11.29    2.79    6.45              0.38              0.38              -999              3.61
2015 04 08   10.99    7.07    0.51   11.59    0.60    6.02              0.53              0.53              -999              5.07
2015 04 09   11.70    6.99   -0.21   12.26    0.56    6.54              0.64              0.64              -999              5.95
2015 04 10   13.36    8.97    0.60   16.37    3.01    9.08              0.63              0.63              6.31              6.21
2015 04 11   13.58   10.01    1.96   17.51    3.93   10.15              0.65              0.65              6.25              6.19
